date,hours worked,employee id,job group
14/11/2023,7.5,1,A
9/11/2023,4,2,B
10/11/2023,4,2,B
9/11/2023,11.5,3,A
8/11/2023,6,3,A
11/11/2023,3,3,A
2/11/2023,6,3,A
3/11/2023,12,2,B
4/11/2023,11,2,B
6/11/2023,5,4,B
21/11/2023,6,1,A
22/11/2023,5,1,A
23/11/2023,5,4,B
24/11/2023,5,4,B
25/11/2023,5,4,B
14/12/2023,7.5,1,A
9/12/2023,4,2,B
10/12/2023,4,2,B
9/12/2023,11.5,3,A
8/12/2023,6,3,A
12/11/2023,3,3,A
2/12/2023,6,3,A
3/12/2023,12,2,B
4/12/2023,11,2,B
6/12/2023,5,4,B
21/12/2023,6,1,A
22/12/2023,5,1,A
23/12/2023,5,4,B
24/12/2023,5,4,B
25/12/2023,5,4,B
24/2/2023,5,4,B
